                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0035,                0.89672,                    1.4,                0.89217,                0.67227,                0.82555,                0.49931,                 1.4774,                  1.073,                 1.9709,               0.006733,               0.006733,               0.006733
                     35,                 1.0564,                 0.8926,                 1.4685,                0.75811,                0.81645,                0.82671,                0.47727,                 1.5182,                  1.028,                 2.0043,               0.006634,               0.006634,               0.006634
                     36,                 1.0271,                  0.927,                 1.4367,                0.77009,                0.73109,                0.76706,                0.47406,                 1.5445,                 1.1381,                 2.0688,               0.006535,               0.006535,               0.006535
                     37,                0.98857,                0.87565,                 1.3964,                0.79829,                0.76471,                0.78861,                0.48435,                 1.5094,                 1.0978,                 2.0345,               0.006436,               0.006436,               0.006436
                     38,                 1.0271,                0.87197,                 1.4426,                0.78343,                 0.7296,                0.81999,                0.51584,                 1.4321,                 1.0358,                 1.8477,               0.006337,               0.006337,               0.006337
                     39,                0.98101,                0.83239,                 1.3879,                0.80524,                0.72963,                0.76917,                0.45753,                 1.5835,                 1.1014,                 2.0877,               0.006238,               0.006238,               0.006238
                     40,                0.97989,                0.82625,                 1.3892,                0.81487,                0.73979,                0.81321,                0.48018,                 1.4829,                 1.0581,                 1.9496,               0.006139,               0.006139,               0.006139
                     41,                0.98377,                0.83737,                 1.4152,                0.78559,                0.80056,                0.83012,                0.51844,                 1.3957,                 1.0052,                 1.8711,                0.00604,                0.00604,                0.00604
                     42,                0.95491,                0.79731,                 1.3828,                0.84657,                0.78151,                0.85402,                0.53947,                 1.4101,                0.96736,                 1.8945,               0.005941,               0.005941,               0.005941
                     43,                0.94109,                0.79856,                 1.3678,                0.86025,                0.77591,                0.84409,                0.55357,                   1.43,                0.96657,                 2.0031,               0.005842,               0.005842,               0.005842
                     44,                0.94307,                 0.7933,                 1.3702,                0.80834,                0.74428,                0.82139,                0.49946,                 1.5106,                 1.0102,                 2.0402,               0.005743,               0.005743,               0.005743
                     45,                0.94035,                0.76816,                 1.3599,                0.75333,                0.79832,                0.84411,                0.53066,                 1.3889,                0.97277,                 1.9157,               0.005644,               0.005644,               0.005644
                     46,                0.96028,                0.77387,                 1.3729,                0.87978,                0.69748,                0.82636,                0.53501,                 1.4176,                0.95788,                 1.8963,               0.005545,               0.005545,               0.005545
                     47,                 0.9499,                0.79832,                 1.3708,                0.84557,                0.73623,                 0.8404,                 0.5279,                 1.4841,                0.91097,                 2.0587,               0.005446,               0.005446,               0.005446
                     48,                0.95209,                0.78631,                 1.3634,                0.87109,                0.69748,                0.83985,                  0.538,                 1.3876,                0.92875,                 1.8462,               0.005347,               0.005347,               0.005347
                     49,                0.91112,                0.78198,                 1.3401,                0.78473,                0.72269,                0.80068,                0.52379,                 1.3732,                 1.0163,                 1.8709,               0.005248,               0.005248,               0.005248
                     50,                0.92875,                0.74847,                 1.3572,                0.83327,                0.75595,                0.81311,                0.49857,                 1.4501,                0.98013,                 1.9121,               0.005149,               0.005149,               0.005149
                     51,                0.90611,                0.73711,                 1.3107,                0.78129,                 0.7395,                0.79182,                0.48075,                 1.5547,                 1.0607,                 2.0989,                0.00505,                0.00505,                0.00505
                     52,                0.88744,                0.70867,                 1.3147,                0.87562,                0.76471,                0.83938,                 0.5463,                 1.3298,                0.92226,                 1.8457,               0.004951,               0.004951,               0.004951
                     53,                0.90783,                0.75289,                 1.3341,                0.73022,                0.79611,                0.81665,                0.49995,                 1.4588,                 1.0066,                 1.9518,               0.004852,               0.004852,               0.004852
                     54,                0.88123,                0.73524,                 1.3044,                0.84431,                 0.7563,                0.82671,                 0.5187,                 1.4577,                0.91556,                 1.9565,               0.004753,               0.004753,               0.004753
                     55,                0.87132,                0.73354,                 1.3247,                 0.8278,                 0.7479,                0.83341,                0.52401,                 1.3562,                0.99421,                 1.8689,               0.004654,               0.004654,               0.004654
