                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.89112,                 3.1951,                0.20188,                0.69562,                 1.1181,                0.98065,                0.64286,                0.80316,                0.39671,                0.82378,                0.42857,                0.43162,                0.20789,                 1.5926,                 6.0373,                0.47858,                 1.4139,                 1.5447,             0.00033268,             0.00033268,             0.00033268
                     23,                0.88233,                 2.2586,                0.33237,                0.59683,                 1.0406,                0.88596,                0.64286,                0.78637,                0.35902,                0.83649,                0.42857,                0.45312,                0.18435,                  1.673,                 6.1477,                0.49094,                 1.4468,                  1.624,             0.00034417,             0.00034417,             0.00034417
                     24,                0.97053,                 1.7588,                0.18671,                0.65546,                 1.2221,                0.88596,                0.64286,                0.78637,                0.35902,                0.83649,                0.42857,                0.45312,                0.18435,                  1.673,                 6.1477,                0.49094,                 1.4468,                  1.624,             0.00035526,             0.00035526,             0.00035526
                     25,                 1.3311,                 2.9918,                0.31718,                0.79826,                  1.231,                0.57209,                0.71429,                0.69606,                0.36799,                0.65438,                0.35714,                0.38024,                0.18053,                 1.7211,                 6.3375,                0.51659,                 1.5716,                 1.6309,             0.00036595,             0.00036595,             0.00036595
                     26,                0.93025,                 2.4304,                0.36655,                0.61565,                 1.0812,                0.57209,                0.71429,                0.69606,                0.36799,                0.65438,                0.35714,                0.38024,                0.18053,                 1.7211,                 6.3375,                0.51659,                 1.5716,                 1.6309,             0.00037625,             0.00037625,             0.00037625
                     27,                0.96613,                 1.7986,                0.23108,                0.64829,                 1.1894,                0.70909,                0.57143,                0.64996,                0.36846,                0.71345,                0.35714,                0.38796,                0.18417,                   1.75,                 6.4433,                0.53482,                 1.6687,                   1.62,             0.00038615,             0.00038615,             0.00038615
                     28,                0.73082,                 1.9134,                 0.2457,                0.55036,                0.94815,                0.70909,                0.57143,                0.64996,                0.36846,                0.71345,                0.35714,                0.38796,                0.18417,                   1.75,                 6.4433,                0.53482,                 1.6687,                   1.62,             0.00039566,             0.00039566,             0.00039566
                     29,                 1.0268,                 3.0022,                0.44261,                0.66061,                 1.0497,                0.68633,                0.57143,                0.64467,                0.34397,                0.77712,                0.35714,                0.37544,                0.15571,                 1.6407,                 6.6521,                0.55407,                  1.613,                 1.5285,             0.00040477,             0.00040477,             0.00040477
                     30,                 1.1599,                  2.724,                0.30101,                0.89769,                 1.4464,                0.68633,                0.57143,                0.64467,                0.34397,                0.77712,                0.35714,                0.37544,                0.15571,                 1.6407,                 6.6521,                0.55407,                  1.613,                 1.5285,             0.00041348,             0.00041348,             0.00041348
                     31,                0.97752,                  2.996,                0.30434,                0.70093,                 1.0963,                0.71077,                0.57143,                0.64707,                0.37519,                0.80139,                0.35714,                0.36445,                0.15193,                 1.5375,                 6.7399,                0.58425,                 1.5589,                 1.4765,              0.0004218,              0.0004218,              0.0004218
                     32,                0.88094,                 2.7531,                 0.3258,                0.75631,                 0.9835,                0.71077,                0.57143,                0.64707,                0.37519,                0.80139,                0.35714,                0.36445,                0.15193,                 1.5375,                 6.7399,                0.58425,                 1.5589,                 1.4765,             0.00042972,             0.00042972,             0.00042972
