                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.0307,                 3.7236,                0.33503,                0.89323,                 1.1482,                0.50569,                0.36608,                0.38976,                0.22973,                0.27816,                0.14286,                0.11665,                0.04274,                 1.6289,                  8.336,                0.62567,                 3.0721,                 1.6414,             0.00021164,             0.00021164,             0.00021164
                     91,                0.83714,                 1.5758,                0.24364,                0.74902,                 1.0275,                0.50569,                0.36608,                0.38976,                0.22973,                0.27816,                0.14286,                0.11665,                0.04274,                 1.6289,                  8.336,                0.62567,                 3.0721,                 1.6414,              0.0001962,              0.0001962,              0.0001962
                     92,                 1.1039,                 2.7475,                0.30464,                  1.431,                 1.0722,                0.50031,                0.42857,                 0.4402,                0.24217,                0.28181,                0.14286,                0.12911,                0.05174,                 1.6196,                 8.3044,                0.61126,                 2.9407,                 1.6427,             0.00018036,             0.00018036,             0.00018036
                     93,                0.70586,                 1.5232,                0.23737,                 0.5536,                0.95493,                0.50031,                0.42857,                 0.4402,                0.24217,                0.28181,                0.14286,                0.12911,                0.05174,                 1.6196,                 8.3044,                0.61126,                 2.9407,                 1.6427,             0.00016413,             0.00016413,             0.00016413
                     94,                0.69355,                 1.8177,                0.24295,                0.67488,                0.88441,                0.50031,                0.42857,                 0.4402,                0.24217,                0.28181,                0.14286,                0.12911,                0.05174,                 1.6196,                 8.3044,                0.61126,                 2.9407,                 1.6427,              0.0001475,              0.0001475,              0.0001475
                     95,                0.73678,                 1.5938,                0.24869,                0.80071,                 1.0101,                0.50031,                0.42857,                 0.4402,                0.24217,                0.28181,                0.14286,                0.12911,                0.05174,                 1.6196,                 8.3044,                0.61126,                 2.9407,                 1.6427,             0.00013047,             0.00013047,             0.00013047
                     96,                0.61707,                 1.7666,                0.26035,                0.59536,                0.84074,                 0.5013,                0.43098,                 0.4323,                0.26102,                0.34397,                0.14286,                0.13258,                0.05202,                  1.628,                 8.2279,                0.60603,                 2.8416,                 1.6528,             0.00011305,             0.00011305,             0.00011305
                     97,                 1.0773,                 3.0286,                0.28625,                0.95273,                 1.0735,                 0.5013,                0.43098,                 0.4323,                0.26102,                0.34397,                0.14286,                0.13258,                0.05202,                  1.628,                 8.2279,                0.60603,                 2.8416,                 1.6528,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                 0.8388,                 1.8818,                0.22943,                0.79172,                0.99581,                 0.5013,                0.43098,                 0.4323,                0.26102,                0.34397,                0.14286,                0.13258,                0.05202,                  1.628,                 8.2279,                0.60603,                 2.8416,                 1.6528,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                0.77571,                  1.543,                0.24961,                0.71209,                0.94279,                 0.5013,                0.43098,                 0.4323,                0.26102,                0.34397,                0.14286,                0.13258,                0.05202,                  1.628,                 8.2279,                0.60603,                 2.8416,                 1.6528,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                0.65563,                 1.7605,                0.26534,                0.64116,                 1.0002,                0.56321,                    0.5,                0.45778,                0.26974,                0.24173,                0.21429,                0.15126,                0.05385,                 1.6525,                 8.1289,                 0.5993,                 2.7186,                 1.6728,             3.9402e-05,             3.9402e-05,             3.9402e-05
