                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 0.8231,                0.65167,                 1.2488,                0.70895,                0.78151,                0.77953,                0.48858,                 1.5317,                 1.0562,                 1.9884,              0.0083665,              0.0083665,              0.0083665
                     35,                0.83275,                0.65775,                 1.2851,                0.80978,                0.72269,                0.78555,                0.47253,                 1.4819,                  0.984,                 2.0308,               0.008317,               0.008317,               0.008317
                     36,                0.84239,                0.67366,                  1.278,                0.90501,                0.69748,                0.80085,                0.48779,                 1.4999,                 1.0155,                 2.0879,              0.0082675,              0.0082675,              0.0082675
                     37,                0.81635,                0.65317,                 1.2566,                0.82257,                0.66387,                0.77939,                0.48447,                 1.5959,                 1.0363,                 2.2599,               0.008218,               0.008218,               0.008218
                     38,                0.83585,                0.66999,                 1.2796,                 0.7596,                0.69748,                0.74349,                0.44951,                 1.5818,                 1.0958,                 2.2091,              0.0081685,              0.0081685,              0.0081685
                     39,                0.82826,                0.63089,                 1.2602,                0.71712,                 0.7243,                0.68634,                0.35972,                 1.7159,                 1.1136,                 2.2859,               0.008119,               0.008119,               0.008119
                     40,                0.83474,                0.63059,                 1.2649,                 0.8504,                0.66387,                0.77208,                0.42531,                 1.6594,                 1.1703,                 2.2383,              0.0080695,              0.0080695,              0.0080695
                     41,                0.83577,                0.65545,                 1.2835,                  0.831,                0.70249,                0.78516,                0.48979,                   1.57,                 1.0227,                  2.144,                0.00802,                0.00802,                0.00802
                     42,                0.81279,                0.62569,                 1.2601,                0.79541,                0.72269,                0.77252,                0.49096,                 1.4472,                 1.0357,                 2.0329,              0.0079705,              0.0079705,              0.0079705
                     43,                0.78194,                0.63302,                 1.2416,                 0.7698,                0.76471,                0.78468,                0.50569,                  1.515,                0.99445,                 2.1028,               0.007921,               0.007921,               0.007921
                     44,                0.79116,                0.61081,                 1.2377,                0.80765,                 0.7479,                0.81785,                0.51293,                 1.5045,                0.95794,                 2.1353,              0.0078715,              0.0078715,              0.0078715
                     45,                0.78767,                 0.5993,                 1.2372,                0.88807,                0.68067,                0.80838,                0.53962,                 1.3749,                0.88767,                 1.9895,               0.007822,               0.007822,               0.007822
                     46,                0.80659,                 0.6094,                 1.2502,                0.81429,                0.78992,                0.82864,                0.51845,                 1.4801,                0.89994,                 2.0009,              0.0077725,              0.0077725,              0.0077725
                     47,                0.81186,                0.63284,                 1.2669,                0.81675,                0.69748,                0.77498,                0.46458,                 1.5903,                 1.0152,                 2.1529,               0.007723,               0.007723,               0.007723
                     48,                 0.8097,                0.64215,                 1.2396,                0.65526,                0.69748,                0.72539,                0.44863,                 1.4469,                 1.0933,                 1.9946,              0.0076735,              0.0076735,              0.0076735
                     49,                0.80848,                0.63943,                 1.2554,                0.74414,                 0.7395,                0.78419,                0.47503,                 1.4871,                 1.1172,                  2.022,               0.007624,               0.007624,               0.007624
                     50,                 0.7788,                0.63711,                 1.2322,                0.77503,                 0.7479,                0.81601,                0.50097,                 1.4918,                 1.0463,                 2.0351,              0.0075745,              0.0075745,              0.0075745
